receiving_yards,depth,season,targets,team_passing_yards,team_pass_td,team_receptions,team_receiving_yards,height,weight,age,reception_td
503.0,1.0,2015,78.0,3928,27,355,3928,75.0,229.0,34,4.0
85.0,2.0,2016,23.0,3720,33,307,3720,75.0,229.0,35,2.0
56.0,2.0,2019,17.0,4648,26,394,4648,74.0,200.0,25,0.0
759.0,2.0,2012,114.0,3383,17,337,3383,71.0,195.0,24,6.0
471.0,2.0,2013,76.0,4291,25,363,4291,71.0,195.0,25,2.0
453.0,1.0,2014,73.0,4461,22,364,4461,71.0,195.0,26,2.0
135.0,2.0,2015,21.0,4294,32,386,4294,71.0,195.0,27,0.0
188.0,2.0,2016,25.0,4327,25,388,4327,71.0,195.0,28,1.0
12.0,2.0,2017,4.0,4146,23,343,4146,71.0,195.0,29,0.0
79.0,1.0,2018,18.0,3404,21,299,3404,71.0,195.0,30,1.0
20.0,2.0,2019,7.0,3476,22,299,3476,71.0,195.0,31,0.0
34.0,1.0,2020,5.0,4786,40,410,4786,71.0,195.0,32,0.0
35.0,2.0,2021,2.0,5014,41,443,5014,71.0,195.0,33,0.0
116.0,2.0,2023,25.0,4257,28,420,4257,75.0,205.0,24,4.0
189.0,2.0,2019,13.0,3797,23,355,3797,69.0,188.0,23,1.0
224.0,2.0,2020,35.0,4102,30,387,4102,69.0,188.0,24,3.0
13.0,2.0,2021,1.0,4619,28,415,4603,69.0,188.0,25,0.0
21.0,2.0,2022,5.0,3966,19,433,3966,69.0,188.0,26,0.0
80.0,2.0,2018,24.0,3844,24,375,3844,73.0,217.0,24,1.0
923.0,1.0,2012,113.0,3996,25,334,3996,73.0,220.0,32,5.0
1179.0,1.0,2013,129.0,3210,21,244,3210,73.0,220.0,33,7.0
1062.0,1.0,2014,131.0,3407,22,292,3407,73.0,220.0,34,5.0
789.0,1.0,2015,112.0,3646,18,322,3646,73.0,220.0,35,5.0
584.0,1.0,2016,95.0,4327,25,388,4327,73.0,220.0,36,9.0
12.0,3.0,2012,9.0,3425,15,293,3425,70.0,185.0,29,0.0
423.0,2.0,2018,54.0,3747,29,344,3747,71.0,190.0,24,7.0
656.0,2.0,2019,85.0,3573,20,371,3573,71.0,190.0,25,2.0
485.0,2.0,2020,76.0,3925,28,402,3925,71.0,190.0,26,2.0
25.0,2.0,2021,12.0,3630,21,354,3630,71.0,190.0,27,1.0
135.0,2.0,2021,23.0,3619,22,320,3606,72.0,195.0,21,1.0
51.0,2.0,2022,10.0,3710,19,335,3710,72.0,195.0,22,0.0
2.0,2.0,2023,2.0,4606,33,408,4606,74.0,199.0,24,0.0
208.0,2.0,2021,32.0,4619,28,415,4603,76.0,206.0,24,3.0
787.0,2.0,2012,106.0,4012,30,354,4010,70.0,185.0,24,5.0
1443.0,1.0,2013,166.0,4306,30,377,4252,70.0,185.0,25,8.0
1700.0,1.0,2014,182.0,4997,33,411,5013,70.0,185.0,26,13.0
1845.0,1.0,2015,197.0,4822,26,391,4832,70.0,185.0,27,10.0
1284.0,1.0,2016,157.0,4377,33,381,4377,70.0,185.0,28,12.0
1535.0,1.0,2017,165.0,4534,31,384,4534,70.0,185.0,29,11.0
1297.0,1.0,2018,168.0,5174,36,459,5131,70.0,185.0,30,15.0
56.0,2.0,2019,8.0,4153,29,378,4153,70.0,185.0,31,1.0
483.0,2.0,2020,62.0,4776,44,410,4776,70.0,185.0,32,4.0
545.0,2.0,2021,62.0,5383,45,492,5383,70.0,185.0,33,4.0
588.0,2.0,2018,82.0,4261,31,353,4261,71.0,200.0,21,7.0
89.0,2.0,2019,15.0,3847,23,318,3847,71.0,200.0,22,0.0
20.0,3.0,2020,4.0,3937,25,370,3937,71.0,200.0,23,0.0
3.0,2.0,2020,7.0,3796,17,389,3796,76.0,220.0,22,0.0
82.0,2.0,2017,13.0,3501,20,323,3511,72.0,205.0,24,0.0
277.0,2.0,2012,40.0,3807,32,335,3807,75.0,211.0,23,1.0
